<name id cathederal coast castlepoints>
ROSS            0  F T 1
GARMORAN        1  F T 0
MORAY           2  F T 2
STRATHSPEY      3  T T 1 
BUCHAN          4  F T 2
LOCHABER        5  F T 1 
BADENOCH        6  F F 2
MAR             7  F F 1
ANGUS           8  F T 2
ARGYLL          9  F T 2
ATHOLL          10 F F 1
FIFE            11 T T 2
LENNOX          12 T T 1 
MENTIETH        13 F T 3
CARRICK         14 F T 1
LANARK          15 F F 2
LOTHIAN         16 F T 2
DUNBAR          17 F T 2
SELKIRK-FOREST  18 F F 0
GALLOWAY        19 F T 1
ANNAN           20 F T 2
TEVIOT          21 F F 1
ENGLAND         22 F T 0
